identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
lhkyb8nounrwoscb1bcy,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,NNCA,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
nqyiyhk0gncfzegfvusl,SQLite,ArtistTerm,NNCA,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
