identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,NNCA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
gcoowr4tb1fan0ni4gib,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,23,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,15,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
wilqlriv1m0wlesa9a4y,SQLite,ArtistTerm,NNCA,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
