identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,9,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,NNCA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,NNCA,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
jsrqjyokrfrcsiiw3h32,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,24,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,21,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,19,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,19,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,19,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,19,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,18,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,18,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,19,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,35,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,18,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,9,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,9,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,NNCA,NORMAL,true,20,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,18,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
zsuqqeetad6notkjayph,SQLite,ArtistTerm,UCColumnA,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairR,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,18,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,9,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,NORMAL,false,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,NORMAL,false,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,NORMAL,false,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnA,NORMAL,false,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnR,IMPAIRED,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,PKCColumnE,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCA,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCA,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCA,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCA,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,NNCR,NORMAL,true,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,UCColumnA,EQUIVALENT,false,11,avsDefaults,ClauseAICC+AUCC+ANCC,1
jymyzavpypgxutln9d8a,SQLite,BankAccount,UCColumnA,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
