identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,NNCA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
qtf3qttrgznifnzhkond,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,18,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,15,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,NNCA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,17,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,14,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,NORMAL,true,13,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
rubz6o9kvz4cg8wk0qdi,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,12,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,9,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnA,NORMAL,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
u7yhnqhirepagnjh5jve,SQLite,BankAccount,PKCColumnR,IMPAIRED,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
