identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,2,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
rqp3voogjowitwj83nnx,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,2,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,10,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,8,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,NNCA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
ohcpscsb5maalxng7g4j,SQLite,ArtistTerm,UCColumnA,NORMAL,true,7,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairR,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,6,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,FKCColumnPairE,IMPAIRED,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,IMPAIRED,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,NORMAL,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,NORMAL,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,NORMAL,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnA,NORMAL,false,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnR,IMPAIRED,true,3,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnR,NORMAL,true,4,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,2,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,2,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnE,IMPAIRED,true,2,avsDefaults,ClauseAICC+AUCC+ANCC,1
iudztqhxukupn8p94nym,SQLite,BankAccount,PKCColumnE,NORMAL,true,5,avsDefaults,ClauseAICC+AUCC+ANCC,1
