identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
naamk9jki8gkdvrufkwl,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,16,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,15,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,14,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,NNCA,NORMAL,true,11,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
ngmnpah3hoqwcjjjryzy,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
