identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
shcx7bsqilt9nolpnhsk,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,16,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,15,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,14,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,17,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,14,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
jsyol1nutceiqsulihjt,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
