identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,9,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,8,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,NNCA,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,NNCA,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,NNCA,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
zsjoz7vuh5ywiku1fqtf,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
9yholep2btgt4mq98mvi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,25,dominoRandom,ClauseAICC+AUCC+ANCC,1
9yholep2btgt4mq98mvi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,25,dominoRandom,ClauseAICC+AUCC+ANCC,1
9yholep2btgt4mq98mvi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,20,dominoRandom,ClauseAICC+AUCC+ANCC,1
9yholep2btgt4mq98mvi,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,19,dominoRandom,ClauseAICC+AUCC+ANCC,1
9yholep2btgt4mq98mvi,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,18,dominoRandom,ClauseAICC+AUCC+ANCC,1
