identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,NNCA,NORMAL,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,NNCA,NORMAL,true,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,NNCA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,5,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
xo1fa1cywtcoj4svduwr,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,18,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,25,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,14,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnA,DUPLICATE,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,PKCColumnR,IMPAIRED,true,6,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,NNCA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,UCColumnA,EQUIVALENT,false,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,UCColumnA,NORMAL,true,13,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
telsrj1somjn3aodstfa,SQLite,ArtistTerm,UCColumnA,NORMAL,true,12,dominoRandom,ClauseAICC+AUCC+ANCC,1
