identifier,dbms,schema,operator,type,killed,time,generator,criterion,randomseed
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,FKCColumnPairR,DUPLICATE,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,FKCColumnPairE,NORMAL,true,4,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,PKCColumnA,DUPLICATE,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,PKCColumnR,IMPAIRED,true,2,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,NNCA,NORMAL,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,UCColumnA,EQUIVALENT,false,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
umhklgu5vp6935i1lx5m,SQLite,ArtistSimilarity,UCColumnA,NORMAL,true,3,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,10,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,8,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,8,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairR,NORMAL,true,8,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
0b6nyipf82hxa5dvpk2w,SQLite,ArtistTerm,FKCColumnPairE,NORMAL,true,7,dominoRandom,ClauseAICC+AUCC+ANCC,1
