dbms,casestudy,criterion,datagenerator,randomseed,testsuitefile,coverage,evaluations,numCoveredRequirments,tests,mutationpipeline,scorenumerator,scoredenominator,technique,transactions,fullreduce,reducedwith,testSuiteReduction,reducePredicates,originalinsertscount,reducedinsertscount,finalinsertscounter,numCoveredReqReduced,originalNumOfNulls,reducedNumOfNulls,testgenerationtime,mutantgenerationtime,originalresultstime,mutationanalysistime,timetaken,killed_mutants,total_mutants,mutationScore,reductionTime
SQLite,Iso3166,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,48,12,8,AllOperatorsNoFKANormalisedWithClassifiers,8,11,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,19,19,12,12,8,5,404,45,4,31,493,8,10,80,130
SQLite,IsoFlav_R2,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,1211,177,90,AllOperatorsNoFKANormalisedWithClassifiers,188,219,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,274,274,136,177,114,69,1147,1559,29,5217,7961,151,179,84.36,589
SQLite,JWhoisServer,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,1828,158,106,AllOperatorsNoFKANormalisedWithClassifiers,141,190,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,256,256,158,158,49,49,2272,1908,41,5673,9904,141,184,76.63,1356
SQLite,MozillaExtensions,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,3241,229,91,AllOperatorsNoFKANormalisedWithClassifiers,266,364,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,356,356,128,229,294,86,2391,5155,33,10197,17787,238,334,71.26,1531
SQLite,MozillaPermissions,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,197,33,17,AllOperatorsNoFKANormalisedWithClassifiers,23,31,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,50,50,26,33,23,15,440,77,6,159,694,23,30,76.67,129
SQLite,NistDML181,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,171,38,18,AllOperatorsNoFKANormalisedWithClassifiers,33,33,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,78,78,35,38,18,12,517,136,13,197,877,18,18,100,188
SQLite,NistDML182,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,3541,190,82,AllOperatorsNoFKANormalisedWithClassifiers,351,351,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,384,384,151,190,118,50,2508,4088,30,6534,13171,94,94,100,1435
SQLite,NistDML183,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,149,34,18,AllOperatorsNoFKANormalisedWithClassifiers,31,31,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,68,68,37,34,17,11,450,91,9,182,741,14,14,100,135
SQLite,NistWeather,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,1049,56,32,AllOperatorsNoFKANormalisedWithClassifiers,45,48,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,120,112,61,56,21,14,802,213,13,443,1482,30,32,93.75,135
SQLite,NistXTS748,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,118,16,10,AllOperatorsNoFKANormalisedWithClassifiers,16,19,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,23,23,15,16,18,11,441,69,5,55,581,14,16,87.5,121
SQLite,NistXTS749,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,319,35,19,AllOperatorsNoFKANormalisedWithClassifiers,35,38,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,73,72,39,35,9,7,528,148,9,235,930,23,25,92,160
SQLite,Person,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,3666,20,12,AllOperatorsNoFKANormalisedWithClassifiers,18,23,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,30,30,15,20,5,5,1189,92,6,105,1401,18,22,81.82,158
SQLite,Products,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,98.11320754716981,106706,52,29,AllOperatorsNoFKANormalisedWithClassifiers,58,67,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,144,134,68,52,29,17,5466,304,20,618,6420,42,49,85.71,256
SQLite,RiskIt,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,3346,250,142,AllOperatorsNoFKANormalisedWithClassifiers,315,347,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,687,670,366,250,59,57,2283,8753,105,25412,36563,184,206,89.32,1120
SQLite,StackOverflow,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,2384,171,89,AllOperatorsNoFKANormalisedWithClassifiers,129,129,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,257,257,134,171,43,43,1432,588,30,2976,5039,86,86,100,878
SQLite,StudentResidence,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,193,34,20,AllOperatorsNoFKANormalisedWithClassifiers,38,45,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,72,71,42,34,15,10,549,154,10,282,1005,34,39,87.18,163
SQLite,UnixUsage,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,1448,147,84,AllOperatorsNoFKANormalisedWithClassifiers,184,192,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,595,581,313,147,36,32,1778,1993,56,7636,11476,110,112,98.21,996
SQLite,Usda,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,1912,247,147,AllOperatorsNoFKANormalisedWithClassifiers,201,201,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,381,381,220,247,67,67,1713,2382,53,8655,12814,134,134,100,1041
SQLite,WordNet,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,100,672,118,69,AllOperatorsNoFKANormalisedWithClassifiers,90,107,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,192,192,102,118,29,29,906,653,25,2213,3807,82,95,86.32,433
SQLite,BookTown,ClauseAICC+AUCC+ANCC,avsDefaults,1,NA,99.2619926199262,201168,269,167,AllOperatorsNoFKANormalisedWithClassifiers,194,235,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,403,403,250,269,67,67,5491,3991,104,21451,31048,165,193,85.49,795
SQLite,Iso3166,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,48,12,8,AllOperatorsNoFKANormalisedWithClassifiers,8,11,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,19,19,12,12,8,5,385,44,4,32,474,8,10,80,102
SQLite,IsoFlav_R2,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,1281,177,90,AllOperatorsNoFKANormalisedWithClassifiers,188,219,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,274,274,136,177,115,70,1061,2054,29,5272,8427,151,179,84.36,564
SQLite,JWhoisServer,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,1828,158,106,AllOperatorsNoFKANormalisedWithClassifiers,141,190,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,256,256,158,158,49,49,2190,1931,40,5731,9903,141,184,76.63,1279
SQLite,MozillaExtensions,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,3171,229,92,AllOperatorsNoFKANormalisedWithClassifiers,266,364,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,356,356,130,229,296,91,2373,4838,39,10241,17503,238,334,71.26,1555
SQLite,MozillaPermissions,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,197,33,17,AllOperatorsNoFKANormalisedWithClassifiers,23,31,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,50,50,26,33,23,15,487,79,6,158,739,23,30,76.67,172
SQLite,NistDML181,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,248,38,18,AllOperatorsNoFKANormalisedWithClassifiers,33,33,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,78,78,35,38,18,11,483,128,9,192,822,18,18,100,141
SQLite,NistDML182,ClauseAICC+AUCC+ANCC,avsDefaults,2,NA,100,3493,190,82,AllOperatorsNoFKANormalisedWithClassifiers,351,351,mutantTiming,TRUE,TRUE,greedy,fullreduce,FALSE,384,384,151,190,118,49,2515,4132,31,6514,13203,94,94,100,1465
