schema,dbms,criterion,datagenerator,randomseed,merges
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,1,71
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,2,71
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,3,72
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,4,69
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,5,66
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,6,70
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,7,73
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,8,61
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,9,68
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,10,70
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,11,68
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,12,73
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,13,67
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,14,78
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,15,70
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,16,71
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,17,67
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,18,71
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,19,74
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,20,69
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,21,68
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,22,67
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,23,72
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,24,69
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,25,69
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,26,71
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,27,78
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,28,78
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,29,74
BookTown,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,30,68
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,1,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,2,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,3,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,4,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,5,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,6,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,7,57
BookTown,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,8,57
